ID,Title,Description,Compliance Frameworks,Parameters,Inventory,Control type,Tested on asset inventory
C.PCI.CopyAndPasteRestrictions,,,PCI-DSS,,,Preventive,PCI Sensitive
C.PCI.DataEncryption,PCI: SAD and PAN encryption,"- Store it using strong cryptography and keyed cryptographic hashes
- Different encryption keys for SAD and PAN
- Check schema, to validate encryption
- sample records to verify implementation
- stored separately from key-encryption keys
- Transmited with strong cryptography
- Certificates are validated before encrypting/decrypting",PCI-DSS,,,Preventive,"PCI Sensitive, Databases, File storage, Object storage"
C.PCI.KeyEncryption,PCI: Encryption of keys used to encrypt data,"- At least as strong encryption as the data encryption keys
- Stored separately from data-encryption keys, in Hardware Security Module (HSM) or PIN Transaction Security (PTS) device",,,,Preventive,PCI Sensitive
C.PCI.Masking,PCI: PAN Masked when displayed,"default: last 4 digits, max: BIN + last 4 digits
Check web portal, logs",PCI-DSS,,,Preventive,"PCI Sensitive, Logs"
C.PCI.Minimisation,"Keys, SAD & PAN stored in minimal number of places",,PCI-DSS,,,Preventive,"PCI Sensitive, Secrets and certificates"
C.PCI.POSInspection,POS inspection,"Regularly inspecting them, looking for signals of tampering. Frequency based on TRA",PCI-DSS,,,Detective,POS Devices
C.PCI.RestrictedAccess,Minimal access required for users to do their jobs,,PCI-DSS,,,Preventive,PCI Sensitive
C.PCI.TemporalStorageDeletion,PCI: SAD deletion after authorisation,,PCI-DSS,,"Temporal SAD store:
  Field: age of SAD data",Preventive,PCI Sensitive
[[ C.SecureCoding ]],Secure Coding Training,,,,,,
C.SecureCoding.ChangeAcceptanceCriteria,The acceptance criteria is well defined,,,,,Detective,"Software repositories, Changes"
C.SecureCoding.ChangeApprovals,Approvals are registered,,,,,Preventive,"Software repositories, Changes"
C.SecureCoding.ChangeDescription,Changes have an appropriate description,,,,,Detective,"Software repositories, Changes"
C.SecureCoding.ChangeTesting,,,,,,Preventive,"Software repositories, Changes"
C.SecureCoding.Training,upon hire and regularly,,PCI-DSS,frequency [PCI yearly],,Preventive,Users
C.SecureCoding.RiskAssessment,,,,,,Preventive,Self-developed services
C.SecureCoding.Rollback,Rollback of changes,,,,,Corrective,Self-developed services
C.SecureCoding.VulnerabilityFixes,Vulnerability fixing per policy,metrics for SLA breach,PCI-DSS,,,Preventive,"Self-developed services, Software repositories, Outsourced controls"
C.SecureCoding.VulnerabilityIdentification,"Scanning plus categorisation, including authenticated scans",,PCI-DSS,,,Detective,"Self-developed services, Software repositories, Outsourced controls"
[[ C.ThirdParty ]],Third Party,,,,,,
C.ThirdParty.DDPriorToEngagement,Due diligence prior to engagement,Prior to start a business relationship,PCI-DSS,,,Preventive,Third-Parties
C.ThirdParty.Monitoring,Third Party Monitoring,"On a regular basis (yearly, bi-yearly, ...)
Including: contract + updates",PCI-DSS,,,Preventive,Third-Parties
